,algorithm,number of errors,extended num of error,maximum score error,average score error,number of IDs sent,extended bytes,number of scores sent,broadcast size,maximum local bandwidth,number of rounds,max local compute time,center compute time,runtime
75,KLEE 60,0,0,0.011483504,9.83E-06,30544949,4425,30544949,10,5058347,2,6.427304506,16.55745864,9.551232634
76,KLEE 70,0,0,0.011840885,1.10E-05,32133851,4425,32133851,10,5177307,2,6.05502224,17.55873394,9.326614838
77,KLEE 80,0,0,0.01254175,1.29E-05,32956873,4425,32956873,10,5236491,2,6.194823265,20.67442846,9.866911057
78,KLEE 90,1,0,0.014421123,0.000119963,34178100,4425,34178100,10,5318091,2,5.892910242,22.29341125,9.782887519
79,KLEE 100,0,0,0.018344786,1.69E-05,35235964,4425,35235964,10,5387227,2,6.337412119,26.12100601,10.71871125
80,AITT 10,1,0,2.96E-05,2.96E-06,12246448,0,12246448,34,3536048,5,0.00028348,2.828940153,1.359785364
81,AITT 20,1,0,0.016676198,0.000313701,15625754,0,15625754,34,3903424,5,0.000201702,3.044305801,1.496834166
82,AITT 30,0,0,0.008021804,4.47E-06,17638602,0,17638602,34,4090976,5,0.000347376,3.175929546,1.548298039
83,AITT 40,0,0,0.015933613,1.41E-05,19219308,0,19219308,34,4218368,5,0.000207901,3.330928564,1.596139651
84,AITT 50,1,0,0.012207981,3.56E-05,22150569,0,22150569,34,4433696,5,0.000208855,3.590001583,1.683279968
85,AITT 60,1,0,0.015287099,0.000238504,23623469,0,23623469,34,4529312,5,0.000202179,3.679700375,1.740518788
86,AITT 70,1,0,0.015287099,0.000152591,24779556,0,24779556,34,4599456,5,0.000197172,3.740853548,1.781439376
87,AITT 80,1,0,0.015807341,0.00015382,25969188,0,25969188,34,4670160,5,0.000195742,3.747105598,1.81692687
88,AITT 90,2,0,0.023751183,0.000488689,27101739,0,27101739,34,4731584,5,0.000190973,3.848122358,1.854809771
89,AITT 100,1,0,0.019344705,0.00010024,28052407,0,28052407,34,4779968,5,0.000315905,4.007193565,1.900388313
